date,revenue,orders_count,units
2024-09-10,32729736.5,107,373
2024-09-11,47397103.5,149,662
2024-09-12,47359351.5,145,593
2024-09-13,38981218.0,133,371
2024-09-14,30262996.5,100,334
2024-09-15,28982913.0,96,311
2024-09-16,50513067.5,177,494
2024-09-17,55787146.0,166,596
2024-09-18,39273122.4,137,441
2024-09-19,39921508.0,131,425
2024-09-20,39793073.1,129,459
2024-09-21,21683034.0,73,261
2024-09-22,23607307.0,78,313
2024-09-23,54104698.5,172,629
2024-09-24,49400797.5,159,610
2024-09-25,39126114.0,134,525
2024-09-26,37960537.0,117,455
2024-09-27,33735143.7,111,473
2024-09-28,22058795.8,78,263
2024-09-29,24867404.5,85,314
2024-09-30,52050323.1,173,612
2024-10-01,48481441.3,156,547
2024-10-02,45835052.5,167,571
2024-10-03,52253645.8,159,634
2024-10-04,33116811.0,107,363
2024-10-05,29768029.25,89,425
2024-10-06,22780163.0,78,351
2024-10-07,42867149.95,143,614
2024-10-08,43427244.7,127,622
2024-10-09,56448466.8,147,791
2024-10-10,39885710.5,117,681
2024-10-11,38599703.0,106,559
2024-10-12,20233122.5,66,329
2024-10-13,10811157.0,35,149
2024-10-14,18112120.5,56,256
2024-10-15,41971486.0,136,609
2024-10-16,38203303.0,138,607
2024-10-17,46583553.5,166,676
2024-10-18,43544858.5,148,690
2024-10-19,23749302.0,93,430
2024-10-20,24370518.5,86,370
2024-10-21,48856480.5,172,837
2024-10-22,51717177.5,153,750
2024-10-23,50685334.5,143,779
2024-10-24,40939752.0,141,669
2024-10-25,46774491.5,157,756
2024-10-26,30174519.5,86,421
2024-10-27,15229305.5,59,222
2024-10-28,38466041.5,127,653
2024-10-29,45921291.5,163,718
2024-10-30,50287300.0,174,871
2024-10-31,58036746.5,120,895
2024-11-01,37553546.0,125,690
2024-11-02,29995487.5,98,516
2024-11-03,18277253.5,70,348
2024-11-04,30808744.5,115,598
2024-11-05,41870824.0,147,771
2024-11-06,41969690.5,128,869
2024-11-07,50162464.5,157,857
2024-11-08,43779101.0,135,900
2024-11-09,21889844.0,77,413
2024-11-10,17550417.0,57,359
2024-11-11,22021023.0,73,463
2024-11-12,51113350.0,149,802
2024-11-13,37036808.9,130,663
2024-11-14,48223777.5,159,792
2024-11-15,32142899.5,111,519
2024-11-16,24743870.0,83,408
2024-11-17,26585050.0,100,522
2024-11-18,46165903.5,163,847
2024-11-19,38742702.0,143,677
2024-11-20,37622386.5,140,644
2024-11-21,35058563.0,121,646
2024-11-22,45498330.0,137,864
2024-11-23,26657492.0,87,524
2024-11-24,20458038.5,66,357
2024-11-25,40718524.5,139,564
2024-11-26,59329244.0,178,1146
2024-11-27,50777296.5,147,976
2024-11-28,39675669.5,131,628
2024-11-29,85659181.0,281,1621
2024-11-30,40829537.0,132,857
2024-12-01,36476937.0,124,642
2024-12-02,61926076.0,187,1121
2024-12-03,53671149.5,167,938
2024-12-04,43811793.5,129,792
2024-12-05,47077016.0,125,864
2024-12-06,39917879.0,120,780
2024-12-07,16078752.0,56,266
2024-12-08,16225774.5,52,298
2024-12-09,34675684.0,119,608
2024-12-10,38544732.5,123,746
2024-12-11,43544081.0,151,859
2024-12-12,41742545.0,130,777
2024-12-13,42654980.0,123,722
2024-12-14,34505452.0,103,597
2024-12-15,23816528.0,88,396
2024-12-16,54597094.0,170,940
2024-12-17,53636083.0,171,1272
2024-12-18,45663786.0,130,755
2024-12-19,38646051.0,130,690
2024-12-20,34993796.0,104,729
2024-12-21,19502114.0,69,362
2024-12-22,21520515.0,59,426
2024-12-23,29838889.0,93,492
2024-12-24,18675214.0,66,328
2024-12-25,16499515.0,54,273
2024-12-26,36311959.0,114,606
2024-12-27,32050421.0,110,644
2024-12-28,19980644.0,64,341
2024-12-29,18058469.0,60,352
