category,subcategory,units,revenue,revenue_share
Proteínas,Proteína de Suero (Whey Protein),31363,6503567527.13,0.290368243380388
Rendimiento y Energía,Creatina,50070,5535416009.29,0.24714266689662778
Proteínas,Proteína Aislada/Hidrolizada (Isolate/Hydrolyzed),7563,2536418055.35,0.11324480789012302
Proteínas,Proteínas Hipercalóricas (Mass Gainers),11458,1610242300.16,0.07189334563895712
Control de Peso,CLA,12590,1195457342.48,0.05337422070641412
Otros,Otro,74311,790177530.89,0.03527947709407942
Aminoácidos,EAA / Mezclas,15425,604489042.62,0.026988944254988028
Otros,Proteína Limpia,4544,575185781.56,0.025680625950639767
Control de Peso,Quemadores de Grasa / Termogénicos,36445,444917814.08,0.019864482621903785
Otros,Pre Entreno,9013,434896534.61,0.01941705721977039
Salud y Bienestar,Omega 3,5185,326975856.97,0.014598665243362835
Otros,Proteína Intermedia,1373,322090288.83,0.01438053668041501
Accesorios,Shakers y Botellas,10741,306795828.4,0.013697676759304948
Otros,Salud,8308,269176469.45,0.012018065203056795
Rendimiento y Energía,Pre-Entrenos (Pre-Workouts),4627,264199511.12,0.011795856293618866
Proteínas,Proteína Vegana (Vegan Protein),2674,151545846.41,0.006766148122565066
Proteínas,Barras y Snacks de Proteína,15442,131485264.44,0.005870492634478251
Salud y Bienestar,Colágeno,1256,84512148.0,0.00377325888548014
Aminoácidos,BCAA,825,73264256.15,0.0032710682670860584
Proteínas,Caseína (Casein),235,68557524.91,0.0030609243304664737
Rendimiento y Energía,Reguladores Hormonales,507,38074440.0,0.0016999298022774248
Salud y Bienestar,Vitaminas y Minerales,683,29601650.0,0.0013216406342834073
Otros,Accesorios,465,28809193.68,0.0012862594148781816
Otros,Aminoácidos,481,26914143.5,0.0012016501001307239
Aminoácidos,L-Carnitina,320,18491347.52,0.0008255930417759722
Otros,Quemadores y Definición,171,14114565.58,0.0006301805272944565
Aminoácidos,Glutamina,158,12196500.0,0.000544543631724501
Accesorios,Ropa y Otros,8,81500.0,3.6387739093630823e-06
