product_id,product_title,vendor,product_type,category,subcategory,units,revenue,revenue_share
gid://shopify/Product/8623200403670,Gold Standard 100% Whey Optimum Nutrition,Optimum Nutrition,Proteína Limpia,Proteínas,Proteína de Suero (Whey Protein),17781,4450547160.57,0.19870199818376208
gid://shopify/Product/8623198273750,Creatine Powder Micronized Optimum Nutrition,Optimum Nutrition,Creatina,Rendimiento y Energía,Creatina,21364,2789996529.93,0.1245639840274947
gid://shopify/Product/8611683958998,ISO 100 Dymatize Nutrition,Dymatize Nutrition,Proteína Limpia,Proteínas,Proteína Aislada/Hidrolizada (Isolate/Hydrolyzed),4982,1761333454.0,0.07863762907140703
gid://shopify/Product/8623213281494,BiPro Classic Megaplex,Megaplex,Proteína Limpia,Control de Peso,CLA,7775,1092565482.27,0.04877938299295551
gid://shopify/Product/8727713251542,Platinum 100% Creatine Muscletech,Zona FIT,Creatina,Rendimiento y Energía,Creatina,5567,819395053.34,0.03658323988632802
gid://shopify/Product/8623212626134,Gold Standard 100% Isolate Optimum Nutrition,Optimum Nutrition,Proteína Limpia,Proteínas,Proteína Aislada/Hidrolizada (Isolate/Hydrolyzed),2306,758030024.38,0.033843497236034484
gid://shopify/Product/8704899907798,Whey Pure Smart Nutrition,Smart Nutrition,Proteína Limpia,Proteínas,Proteína de Suero (Whey Protein),4316,707857495.43,0.03160346215796088
gid://shopify/Product/8623214821590,Serious Mass Optimum Nutrition,Optimum Nutrition,Proteína Hipercalórica,Proteínas,Proteínas Hipercalóricas (Mass Gainers),2835,695421721.42,0.031048246573090587
gid://shopify/Product/8670448058582,Creatine Iron Smart Nutrition,Smart Nutrition,Creatina,Rendimiento y Energía,Creatina,5623,557853634.06,0.024906293042763445
gid://shopify/Product/8623199584470,Creatine Monohydrate Healthy Sports,Healthy Sports,Creatina,Rendimiento y Energía,Creatina,7103,551400842.13,0.024618197533583214
gid://shopify/Product/8623196831958,Gold Standard 100% Whey Naturally Flavored Optimum Nutrition,Optimum Nutrition,Proteína Limpia,Proteínas,Proteína de Suero (Whey Protein),1742,487924346.85,0.021784184996521874
gid://shopify/Product/8623200501974,Amino X BSN,BSN,Aminoácidos,Aminoácidos,EAA / Mezclas,2331,294754090.35,0.01315978117123942
gid://shopify/Product/8865682325718,Shaker variado,Zona FIT,Otro,Accesorios,Shakers y Botellas,7587,263073649.86,0.011745355798000921
gid://shopify/Product/8623212560598,Burner Stack Megaplex,Megaplex,Quemadores y Definición,Control de Peso,Quemadores de Grasa / Termogénicos,16186,260960298.46,0.011651001748735961
gid://shopify/Product/8623212167382,Smart Proscience,Proscience,Proteína Hipercalórica,Proteínas,Proteínas Hipercalóricas (Mass Gainers),2085,254496977.56,0.01136243615637217
gid://shopify/Product/8623216492758,Syntha 6 BSN,BSN,Proteína Intermedia,Otros,Proteína Intermedia,731,254474298.83,0.01136142362716965
gid://shopify/Product/8623196537046,Isopure Zero Low Carb Isopure Company,Isopure Company,Proteína Limpia,Otros,Proteína Limpia,776,246158788.26,0.010990163980532049
gid://shopify/Product/8623198961878,C4 Original Cellucor,Cellucor,Pre Entreno,Rendimiento y Energía,Pre-Entrenos (Pre-Workouts),2442,239730860.28,0.010703178563295456
gid://shopify/Product/8623213084886,Megaplex Creatine Power Nutramerican,Megaplex,Proteína Hipercalórica,Proteínas,Proteínas Hipercalóricas (Mass Gainers),2456,236388457.85,0.010553951509269542
gid://shopify/Product/8623214035158,Amino Energy Optimum Nutrition,Optimum Nutrition,Aminoácidos,Aminoácidos,EAA / Mezclas,1388,197545748.11,0.008819754844960656
gid://shopify/Product/8623212986582,Best Protein Proscience,Proscience,Proteína Limpia,Otros,Proteína Limpia,1148,194735444.36,0.008694284211692094
gid://shopify/Product/8623212888278,Intenze Proscience,Proscience,Pre Entreno,Otros,Pre Entreno,3501,193683642.26,0.008647324776947645
gid://shopify/Product/8623212789974,Crea Stack Megaplex,Megaplex,Creatina,Rendimiento y Energía,Creatina,2044,183601522.92,0.008197191976079047
gid://shopify/Product/8755588366550,Bebida Gratis,Obsequio,Otro,Otros,Otro,16160,161600000.0,0.007214897797506647
gid://shopify/Product/8782266040534,Dosis de proteína a disponiblidad,Optimum Nutrition,Otro,Otros,Otro,15975,159750000.0,0.007132301504651528
