product_id,title,vendor,product_type,category,subcategory,total_quantity,total_revenue,total_list_revenue,order_count,revenue_share
gid://shopify/Product/8623200403670,Gold Standard 100% Whey Optimum Nutrition,Optimum Nutrition,Proteína Limpia,Proteínas,Proteína de Suero (Whey Protein),17781,4450547160.570044,4628866102.570049,14263,0.19782611296654065
gid://shopify/Product/8623198273750,Creatine Powder Micronized Optimum Nutrition,Optimum Nutrition,Creatina,Rendimiento y Energía,Creatina,21364,2789996529.930023,2812976529.930016,18353,0.12401490171727543
gid://shopify/Product/8611683958998,ISO 100 Dymatize Nutrition,Dymatize Nutrition,Proteína Limpia,Proteínas,Proteína Aislada/Hidrolizada (Isolate/Hydrolyzed),4982,1761333454.0,1848235350.0,4554,0.07829099170766274
gid://shopify/Product/8623213281494,BiPro Classic Megaplex,Megaplex,Proteína Limpia,Control de Peso,CLA,7775,1092565482.2700002,1343456541.2700126,5682,0.04856436180112385
gid://shopify/Product/8727713251542,Platinum 100% Creatine Muscletech,Zona FIT,Creatina,Rendimiento y Energía,Creatina,5567,819395053.3400005,819395053.3400005,4188,0.03642197971125452
gid://shopify/Product/8623212626134,Gold Standard 100% Isolate Optimum Nutrition,Optimum Nutrition,Proteína Limpia,Proteínas,Proteína Aislada/Hidrolizada (Isolate/Hydrolyzed),2306,758030024.3800027,780565339.3800031,2246,0.03369431394045059
gid://shopify/Product/8704899907798,Whey Pure Smart Nutrition,Smart Nutrition,Proteína Limpia,Proteínas,Proteína de Suero (Whey Protein),4316,707857495.430001,843441095.4300016,3745,0.03146415301376381
gid://shopify/Product/8623214821590,Serious Mass Optimum Nutrition,Optimum Nutrition,Proteína Hipercalórica,Proteínas,Proteínas Hipercalóricas (Mass Gainers),2835,695421721.4200014,729392440.4200008,2607,0.03091138483821808
gid://shopify/Product/8670448058582,Creatine Iron Smart Nutrition,Smart Nutrition,Creatina,Rendimiento y Energía,Creatina,5623,557853634.0600026,661034634.060005,4644,0.024796505249528512
gid://shopify/Product/8623199584470,Creatine Monohydrate Healthy Sports,Healthy Sports,Creatina,Rendimiento y Energía,Creatina,7103,551400842.1300057,650351492.1300056,5433,0.024509679675225503
gid://shopify/Product/8623196831958,Gold Standard 100% Whey Naturally Flavored Optimum Nutrition,Optimum Nutrition,Proteína Limpia,Proteínas,Proteína de Suero (Whey Protein),1742,487924346.849997,488804346.849997,1703,0.021688159562544638
gid://shopify/Product/8623200501974,Amino X BSN,BSN,Aminoácidos,Aminoácidos,EAA / Mezclas,2331,294754090.3500017,321349562.3500016,1845,0.013101772404870054
gid://shopify/Product/8865682325718,Shaker variado,Zona FIT,Otro,Accesorios,Shakers y Botellas,7587,263073649.86,263073649.86,7556,0.011693581867147022
gid://shopify/Product/8623212560598,Burner Stack Megaplex,Megaplex,Quemadores y Definición,Control de Peso,Quemadores de Grasa / Termogénicos,16186,260960298.45999908,320439442.46000016,2326,0.011599643733764558
gid://shopify/Product/8623212167382,Smart Proscience,Proscience,Proteína Hipercalórica,Proteínas,Proteínas Hipercalóricas (Mass Gainers),2085,254496977.56000033,313831287.56000006,1541,0.011312350148420684
gid://shopify/Product/8623216492758,Syntha 6 BSN,BSN,Proteína Intermedia,Salud y Bienestar,Otros Suplementos de Bienestar,731,254474298.82999927,260439403.82999924,701,0.01131134208248154
gid://shopify/Product/8623196537046,Isopure Zero Low Carb Isopure Company,Isopure Company,Proteína Limpia,Salud y Bienestar,Otros Suplementos de Bienestar,776,246158788.26000005,259993997.26000002,732,0.010941718961088883
gid://shopify/Product/8623198961878,C4 Original Cellucor,Cellucor,Pre Entreno,Rendimiento y Energía,Pre-Entrenos (Pre-Workouts),2442,239730860.2799998,239730860.2799998,2177,0.01065599858540603
gid://shopify/Product/8623213084886,Megaplex Creatine Power Nutramerican,Megaplex,Proteína Hipercalórica,Proteínas,Proteínas Hipercalóricas (Mass Gainers),2456,236388457.85000014,293770434.85000056,1572,0.010507429329348074
gid://shopify/Product/8623214035158,Amino Energy Optimum Nutrition,Optimum Nutrition,Aminoácidos,Aminoácidos,EAA / Mezclas,1388,197545748.11000016,214641018.11000013,1153,0.008780877063363867
gid://shopify/Product/8623212986582,Best Protein Proscience,Proscience,Proteína Limpia,Salud y Bienestar,Otros Suplementos de Bienestar,1148,194735444.36000028,242598784.35999984,982,0.008655959508946454
gid://shopify/Product/8623212888278,Intenze Proscience,Proscience,Pre Entreno,Salud y Bienestar,Otros Suplementos de Bienestar,3501,193683642.2599991,242706287.2599986,1917,0.008609207072999538
gid://shopify/Product/8623212789974,Crea Stack Megaplex,Megaplex,Creatina,Rendimiento y Energía,Creatina,2044,183601522.92000005,238629354.92000023,1312,0.008161058472942611
gid://shopify/Product/8755588366550,Bebida Gratis,Obsequio,Otro,Salud y Bienestar,Otros Suplementos de Bienestar,16160,161600000.0,161600000.0,16042,0.007183094280771152
gid://shopify/Product/8782266040534,Dosis de proteína a disponiblidad,Optimum Nutrition,Otro,Salud y Bienestar,Otros Suplementos de Bienestar,15975,159750000.0,159750000.0,11723,0.0071008620752053934
gid://shopify/Product/8623199125718,Platinum 100% Fish Oil Omega 3 Muscletech,Muscletech,Salud,Salud y Bienestar,Omega 3,1941,158143856.97000006,158143856.97000006,1639,0.007029469273145412
gid://shopify/Product/8730733707478,Nitrotech Whey Gold Muscletech,Muscletech,Proteína Limpia,Proteínas,Proteína de Suero (Whey Protein),585,156219350.0,156219350.0,539,0.006943925244621206
gid://shopify/Product/8938784784598,SHAKER SYNTHA 6 + SACHET INTENZE CITRUS + Burner LATA + ENERGY X SOBRE,Zona FIT,Otro,Control de Peso,Quemadores de Grasa / Termogénicos,16396,149451048.0,701740002.0,16334,0.006643075297921132
gid://shopify/Product/9084009152726,Creatine 120 serv Optimum + Gold Standard 100% Whey Chocolate 10 serv (gratis),Zona FIT,Oferta,Proteínas,Proteína de Suero (Whey Protein),811,137870811.0,137870811.0,702,0.0061283356063080476
gid://shopify/Product/8723494142166,Muestra,Zona FIT,Otro,Salud y Bienestar,Otros Suplementos de Bienestar,13457,135470000.0,135470000.0,8705,0.006021619939455866
gid://shopify/Product/8623191097558,Embudo,Optimum Nutrition,Otro,Salud y Bienestar,Otros Suplementos de Bienestar,11777,122348111.01999992,122348111.01999992,11258,0.005438354062691308
gid://shopify/Product/8623191785686,Proton Whey Smartmuscle,Smartmuscle,Proteína Limpia,Proteínas,Proteína de Suero (Whey Protein),641,104872404.99999972,127482704.99999972,558,0.004661561711424591
gid://shopify/Product/8610714943702,Creatine Micronized Dymatize Nutrition,Dymatize Nutrition,Creatina,Rendimiento y Energía,Creatina,712,97637000.0,102167000.0,588,0.0043399491107156745
gid://shopify/Product/8623199191254,Nitrotech Whey Protein Muscletech,Muscletech,Proteína Limpia,Proteínas,Proteína de Suero (Whey Protein),395,95873500.0,95873500.0,368,0.004261561816383126
gid://shopify/Product/8623199158486,Platinum Pure CLA Muscletech,Muscletech,Quemadores y Definición,Control de Peso,CLA,2846,95074360.21000001,136685519.21,2718,0.004226040179903636
gid://shopify/Product/8698274316502,Mass Evolution Smart Nutrition,Smart Nutrition,Proteína Hipercalórica,Proteínas,Proteínas Hipercalóricas (Mass Gainers),1086,93737707.55000012,117962157.55000015,767,0.004166626181899781
gid://shopify/Product/8623198535894,Creatine Monohydrate Ultimate Nutrition,Ultimate Nutrition,Creatina,Rendimiento y Energía,Creatina,1244,92193873.74000013,92193873.74000013,1087,0.004098003014752058
gid://shopify/Product/8748287852758,Total War Games Redcon1,Cellucor,Otro,Proteínas,Proteína Vegana (Vegan Protein),1891,88268381.09,95768231.09,1884,0.003923515491216012
gid://shopify/Product/8840806039766,Whey Sport Cellucor,Cellucor,Proteína Limpia,Proteínas,Proteína de Suero (Whey Protein),2010,87997054.49000019,301435720.48999995,1970,0.003911455067028637
gid://shopify/Product/8623211675862,Legacy Proscience,Proscience,Creatina,Rendimiento y Energía,Creatina,1011,83361103.5,109083480.0,728,0.003705387783351622
gid://shopify/Product/8623195554006,Fish Oil Omega 3 1.200 mg Healthy America,Healthy America,Salud,Salud y Bienestar,Omega 3,1658,76951250.0,97862000.0,1248,0.003420470815428163
gid://shopify/Product/8623214166230,Platinum Hydrowhey Optimum Nutrition,Optimum Nutrition,Proteína Limpia,Proteínas,Proteína de Suero (Whey Protein),225,75327943.90999998,77352978.90999998,219,0.0033483151180827416
gid://shopify/Product/8722594201814,2 Muestras a disponibilidad,Obsequio,Otro,Salud y Bienestar,Otros Suplementos de Bienestar,5873,75195000.0,75195000.0,5836,0.00334240578244175
gid://shopify/Product/8623212921046,BiPro Mass Megaplex,Megaplex,Proteína Hipercalórica,Proteínas,Proteínas Hipercalóricas (Mass Gainers),625,73982679.5,95843750.0,472,0.0032885183291619753
gid://shopify/Product/8623191523542,Super Magnesium Healthy America,Healthy America,Salud,Salud y Bienestar,Otros Suplementos de Bienestar,1267,73889895.4,94922445.4,951,0.003284394090683903
gid://shopify/Product/8623192080598,Legend Fitmafia,Proscience,Creatina,Rendimiento y Energía,Creatina,1066,73017815.11999999,91641130.11999996,685,0.0032456302610326566
gid://shopify/Product/8623216623830,NO Xplode BSN,BSN,Pre Entreno,Salud y Bienestar,Otros Suplementos de Bienestar,427,72361701.20000002,79031781.20000002,391,0.003216466101711579
gid://shopify/Product/8623200075990,Prostar Whey Ultimate Nutrition,Ultimate Nutrition,Proteína Limpia,Proteínas,Proteína de Suero (Whey Protein),341,72108825.27999993,72108825.27999993,321,0.003205225807313699
gid://shopify/Product/8623213674710,Gold Standard 100% Casein Optimum Nutrition,Optimum Nutrition,Proteína Limpia,Proteínas,Caseína (Casein),235,68557524.91,70112548.91,233,0.0030473710710695965
gid://shopify/Product/8776605237462,Masstech Muscletech,Muscletech,Proteína Hipercalórica,Proteínas,Proteínas Hipercalóricas (Mass Gainers),245,64897000.0,64897000.0,235,0.0028846613214059745
gid://shopify/Product/8623191752918,Atomic HCL Smartmuscle,Smartmuscle,Creatina,Rendimiento y Energía,Creatina,948,64728150.0,83886000.0,568,0.002877155965779067
gid://shopify/Product/8623190966486,Super Mega Gainer GMN,GMN,Proteína Hipercalórica,Proteínas,Proteínas Hipercalóricas (Mass Gainers),605,57951664.17999996,74856912.17999995,426,0.0025759422495824765
gid://shopify/Product/8623205712086,Omega 3 Proscience,Proscience,Salud,Salud y Bienestar,Omega 3,986,57740900.0,74326000.0,623,0.0025665738153253653
gid://shopify/Product/8623212495062,Energy X Megaplex,Megaplex,Pre Entreno,Salud y Bienestar,Otros Suplementos de Bienestar,2572,56546533.24999992,62797948.749999896,1831,0.002513484403375682
gid://shopify/Product/8623192539350,Collagen Stack Megaplex,Megaplex,Salud,Salud y Bienestar,Colágeno,725,56314368.0,72492750.0,537,0.0025031646949631313
gid://shopify/Product/8623212396758,Army BCAA Proscience,Proscience,Aminoácidos,Aminoácidos,BCAA,585,51341866.150000006,66878366.15000001,442,0.00228213777912242
gid://shopify/Product/8861714219222,Shaker,Zona FIT,Accesorios,Proteínas,Proteínas Hipercalóricas (Mass Gainers),4397,49289101.65000005,104386897.64999999,3793,0.002190892723802372
gid://shopify/Product/8623190900950,Mega Gainer GMN,GMN,Proteína Hipercalórica,Proteínas,Proteínas Hipercalóricas (Mass Gainers),383,47931717.83000012,57058130.67999999,301,0.002130557229035956
gid://shopify/Product/8709114953942,Producto Sorpresa,Vexus Supplements,Salud,Salud y Bienestar,Otros Suplementos de Bienestar,4865,47722824.04999994,415305770.04999995,4775,0.0021212719337611544
gid://shopify/Product/8857359450326,Sachet Amino Energy Optimum Nutrition,Optimum Nutrition,Aminoácidos,Aminoácidos,EAA / Mezclas,7573,46764976.27999991,46764976.27999991,1485,0.002078695752829616
gid://shopify/Product/8623199748310,Iso Whey 100% Healthy Sports,Healthy Sports,Proteína Limpia,Proteínas,Proteína de Suero (Whey Protein),279,46410009.07999992,53568459.07999992,232,0.00206291751728394
gid://shopify/Product/8751380758742,Amino Energy + Electrolytes Sparkling Optimum Nutrition,Optimum Nutrition,Aminoácidos,Aminoácidos,EAA / Mezclas,3759,44946377.87999957,45282353.87999957,1567,0.001997859343386163
gid://shopify/Product/8772303945942,Embudos Variados,Zona FIT,Otro,Salud y Bienestar,Otros Suplementos de Bienestar,4133,44623033.97000038,57747158.97000038,3524,0.0019834867580480605
gid://shopify/Product/8722599968982,Celltech Muscletech,Muscletech,Creatina,Rendimiento y Energía,Creatina,235,44600500.0,44600500.0,209,0.001982485126667907
gid://shopify/Product/8782216921302,Atomic Monohidrato Smartmuscle,Smartmuscle,Creatina,Rendimiento y Energía,Creatina,522,44379500.0,57420000.0,370,0.0019726617118408624
gid://shopify/Product/8728721457366,Mystery Free Gift,Zona FIT,Otro,Salud y Bienestar,Otros Suplementos de Bienestar,4007,44250000.0,44250000.0,3989,0.0019669054574512593
gid://shopify/Product/8623191982294,Electron Smartmuscle,Smartmuscle,Pre Entreno,Salud y Bienestar,Otros Suplementos de Bienestar,832,42991250.0,55415000.0,391,0.0019109542202859085
